DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/09/2016,9:30,BROOKLYN,11237,40.6984656,-73.9177676,"(40.6984656, -73.9177676)",                                ,                                ,480 KNICKERBOCKER AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459405,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,5:00,BROOKLYN,11207,40.6885337,-73.905419,"(40.6885337, -73.905419)",                                ,                                ,224 MOFFAT STREET                       ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459406,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,11:30,BROOKLYN,11221,40.6970613,-73.91932,"(40.6970613, -73.91932)",WILSON AVENUE                   ,BLEECKER STREET                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459407,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,15:00,BROOKLYN,11221,40.6892183,-73.9176492,"(40.6892183, -73.9176492)",PUTNAM AVENUE                   ,BUSHWICK AVENUE                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459408,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
06/09/2016,17:30,BROOKLYN,11237,40.6925482,-73.9073462,"(40.6925482, -73.9073462)",ELDERT STREET                   ,KNICKERBOCKER AVENUE            ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3459409,VAN,PASSENGER VEHICLE,,,
06/09/2016,13:25,BROOKLYN,11201,40.7016566,-73.9912974,"(40.7016566, -73.9912974)",BROOKLYN BRIDGE                 ,BROOKLYN QNS EXPRESSWAY         ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459415,PASSENGER VEHICLE,OTHER,,,
06/09/2016,16:53,BROOKLYN,11201,40.6959519,-73.9823908,"(40.6959519, -73.9823908)",TILLARY STREET                  ,PRINCE STREET                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459416,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,18:47,BROOKLYN,11201,40.7007672,-73.9909333,"(40.7007672, -73.9909333)",CADMAN PLAZA WEST               ,PROSPECT STREET                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459417,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,11:20,BROOKLYN,11238,40.6817416,-73.958584,"(40.6817416, -73.958584)",FULTON STREET                   ,CLASSON AVENUE                  ,                                        ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3459422,PASSENGER VEHICLE,BICYCLE,,,
06/09/2016,17:20,BROOKLYN,11201,40.6934893,-73.9791676,"(40.6934893, -73.9791676)",MYRTLE AVENUE                   ,NAVY STREET                     ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459424,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,20:19,BROOKLYN,11238,40.6841576,-73.9690604,"(40.6841576, -73.9690604)",CLERMONT AVENUE                 ,FULTON STREET                   ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3459425,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
